model,corruption_type,level,n,accuracy,macro_f1,baseline_accuracy,drop_rate_pct
tiny_cnn_b,brightness,1,2727,0.7345067840117345,0.6173257129530126,0.9842317565089842,25.3725782414307
tiny_cnn_b,brightness,2,2727,0.4844151081774844,0.2550998772656186,0.9842317565089842,50.78241430700447
tiny_cnn_b,brightness,3,2727,0.1111111111111111,0.03293603863688978,0.9842317565089842,88.71087928464976
tiny_cnn_b,shadow,1,2727,0.9750641730839751,0.9649839253874412,0.9842317565089842,0.9314456035767461
tiny_cnn_b,shadow,2,2727,0.9497616428309498,0.9371824742571361,0.9842317565089842,3.50223546944858
tiny_cnn_b,shadow,3,2727,0.7972130546387972,0.73336372527722,0.9842317565089842,19.00149031296572
tiny_cnn_b,reflection,1,2727,0.9765309864319766,0.9667164796746114,0.9842317565089842,0.7824143070044655
tiny_cnn_b,reflection,2,2727,0.9387605427209388,0.9115583390669508,0.9842317565089842,4.61997019374068
tiny_cnn_b,reflection,3,2727,0.8408507517418409,0.7572479889911914,0.9842317565089842,14.567809239940383
tiny_cnn_b,blur,1,2727,0.6354968830216355,0.49279771430676356,0.9842317565089842,35.432190760059605
tiny_cnn_b,blur,2,2727,0.5298863219655299,0.35219497471692435,0.9842317565089842,46.16244411326378
tiny_cnn_b,blur,3,2727,0.44004400440044006,0.2709720471301996,0.9842317565089842,55.290611028315936
tiny_cnn_b,noise,1,2727,0.9823982398239824,0.9759404927426004,0.9842317565089842,0.18628912071534245
tiny_cnn_b,noise,2,2727,0.8115144847818115,0.8027585051396932,0.9842317565089842,17.548435171385986
tiny_cnn_b,noise,3,2727,0.28602860286028603,0.22155684726164485,0.9842317565089842,70.93889716840536
tiny_cnn_b,occlusion,1,2727,0.9523285661899523,0.9341251960344967,0.9842317565089842,3.241430700447092
tiny_cnn_b,occlusion,2,2727,0.9061239457279061,0.870892888050345,0.9842317565089842,7.935916542473918
tiny_cnn_b,occlusion,3,2727,0.7733773377337734,0.6996927389518552,0.9842317565089842,21.423248882265273
