epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,1.16158099383158,0.6164016999842594,0.6222597624045132,0.8104143747708105,236.04308533668518
2,0.6827254325934851,0.7727845112545254,0.4236594031243522,0.8705537220388706,280.27303862571716
3,0.5418452763583704,0.8243349598614828,0.344671036109607,0.9024569123579025,280.7478349208832
4,0.4716109888405007,0.8437745946796789,0.4226630039534968,0.8584525119178584,212.9693422317505
5,0.4078699898929947,0.8668345663466079,0.2820618099122857,0.916024935826916,195.618825674057
6,0.3895695465259921,0.8708484180702031,0.26358517468369047,0.9156582324899156,193.62625694274902
7,0.3419283050008783,0.8867464190146388,0.21163566632119124,0.9394939493949395,198.22841596603394
8,0.33036363063863594,0.8911537856130962,0.2225188652294588,0.9328932893289329,194.78542304039001
9,0.28949398299136464,0.9040610735085787,0.1881661126147621,0.9431609827649432,192.2120373249054
10,0.27592861205785085,0.9064221627577522,0.17594606471686824,0.9446277961129447,190.8098554611206
11,0.27239645566974835,0.9090193609318432,0.16618696303623562,0.942060872753942,193.73259329795837
12,0.24146546587387857,0.9199590744530143,0.149094598917656,0.9537953795379538,186.7205069065094
13,0.2290457873696814,0.9246812529513616,0.14760659268416354,0.949028236156949,191.01606345176697
14,0.224205418565077,0.9258617975759483,0.12425163282142275,0.9625962596259626,195.35183429718018
15,0.22405966604560937,0.9249960648512514,0.1391447900794788,0.9556288962229557,193.22136068344116
16,0.21416459721729322,0.9268849362505903,0.1823985414011906,0.944994499449945,188.35367512702942
17,0.22571030647083284,0.9258617975759483,0.11465590883922043,0.9636963696369637,193.23422074317932
18,0.18882821304918593,0.938454273571541,0.1306333887767488,0.9570957095709571,203.09801411628723
19,0.17970813988851184,0.9414449866204943,0.12066163097586459,0.9592959295929593,193.7441918849945
20,0.17550498217123803,0.9388477884464033,0.16840195633692318,0.9435276861019435,193.79472756385803
