model,n_seeds,seeds_used,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,best_seed,best_accuracy,worst_seed,worst_accuracy
tiny_cnn_a,1,42,0.9658965896589659,,0.9571768322096595,,42,0.9658965896589659,42,0.9658965896589659
tiny_cnn_b,1,42,0.9842317565089842,,0.9765964622339883,,42,0.9842317565089842,42,0.9842317565089842
tiny_cnn_c,1,42,0.9625962596259626,,0.9530093785278122,,42,0.9625962596259626,42,0.9625962596259626
