,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.12837837837837837,0.20430107526881722,0.15767634854771784,93.0
Tomato___Early_blight,0.0,0.0,0.0,84.0
Tomato___Late_blight,0.18594436310395315,0.7094972067039106,0.29466357308584684,179.0
Tomato___Leaf_Mold,1.0,0.019801980198019802,0.038834951456310676,303.0
Tomato___Target_Spot,0.0,0.0,0.0,47.0
Tomato___healthy,0.4375,0.1240506329113924,0.1932938856015779,395.0
micro avg,0.19667318982387474,0.18256130790190736,0.18935468676401318,1101.0
macro avg,0.2919704569137219,0.1762751491803567,0.11407812644857555,1101.0
weighted avg,0.47323862868737226,0.18256130790190736,0.14125954141797434,1101.0
