,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.11442786069651742,0.4946236559139785,0.18585858585858586,93.0
Tomato___Early_blight,0.16091954022988506,0.16666666666666666,0.16374269005847952,84.0
Tomato___Late_blight,0.22176591375770022,0.6033519553072626,0.32432432432432434,179.0
Tomato___Leaf_Mold,1.0,0.0033003300330033004,0.006578947368421052,303.0
Tomato___Target_Spot,0.0,0.0,0.0,47.0
Tomato___healthy,0.3218390804597701,0.07088607594936709,0.11618257261410789,395.0
micro avg,0.18515037593984962,0.17892824704813806,0.18198614318706696,1101.0
macro avg,0.3031587325239788,0.22313811397837965,0.13278118670398645,1101.0
weighted avg,0.4486662740856712,0.17892824704813806,0.12441310239692917,1101.0
