model,corruption_type,level,n,accuracy,macro_f1,baseline_accuracy,drop_rate_pct
tiny_cnn_a,brightness,1,2727,0.6270627062706271,0.47692297384890736,0.9658965896589659,35.079726651480634
tiny_cnn_a,brightness,2,2727,0.3414008067473414,0.14445725283234195,0.9658965896589659,64.6545178435839
tiny_cnn_a,brightness,3,2727,0.11147781444811147,0.03124871666992184,0.9658965896589659,88.45861807137435
tiny_cnn_a,shadow,1,2727,0.9504950495049505,0.9342477378818824,0.9658965896589659,1.5945330296127564
tiny_cnn_a,shadow,2,2727,0.8514851485148515,0.7929504739536328,0.9658965896589659,11.845102505694758
tiny_cnn_a,shadow,3,2727,0.5691235790245691,0.4160655960002829,0.9658965896589659,41.078208048595286
tiny_cnn_a,reflection,1,2727,0.9479281261459479,0.9328834418730905,0.9658965896589659,1.8602885345482139
tiny_cnn_a,reflection,2,2727,0.9215254858819215,0.88660202892671,0.9658965896589659,4.593773728170081
tiny_cnn_a,reflection,3,2727,0.7939127246057939,0.6907819549270938,0.9658965896589659,17.80561883067578
tiny_cnn_a,blur,1,2727,0.6087275394206088,0.4839307199061487,0.9658965896589659,36.97798025816248
tiny_cnn_a,blur,2,2727,0.44004400440044006,0.31376731755146087,0.9658965896589659,54.441913439635535
tiny_cnn_a,blur,3,2727,0.3296662999633297,0.22656207586978402,0.9658965896589659,65.86940015186029
tiny_cnn_a,noise,1,2727,0.9603960396039604,0.9505920571307724,0.9658965896589659,0.569476082004555
tiny_cnn_a,noise,2,2727,0.7040704070407041,0.6516413969044305,0.9658965896589659,27.107061503416848
tiny_cnn_a,noise,3,2727,0.13384671800513384,0.09557457016356141,0.9658965896589659,86.14274867122248
tiny_cnn_a,occlusion,1,2727,0.9237257059039238,0.9084876307597914,0.9658965896589659,4.365983295368252
tiny_cnn_a,occlusion,2,2727,0.8368170150348369,0.8046271603022236,0.9658965896589659,13.363705391040234
tiny_cnn_a,occlusion,3,2727,0.6109277594426109,0.4968085793373458,0.9658965896589659,36.75018982536067
