epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,1.1761883100663462,0.6065947902730778,0.5990065963566852,0.8253034203751379,275.16397881507874
2,0.6771245057017908,0.7766585346659322,0.443050130385167,0.8631849944832659,269.8868863582611
3,0.5437199487828379,0.824978358385142,0.35568058673523945,0.889665318131666,280.2023415565491
4,0.4671141306027633,0.8472495474935076,0.28869619280779435,0.9179845531445384,315.00877714157104
5,0.4075729282663894,0.8691272526953647,0.29611568736976324,0.9025376976829717,298.34504294395447
6,0.37187967112224407,0.8773117179507358,0.2464748743144674,0.9220301581463773,264.8351809978485
7,0.3392476497312266,0.8853387896435035,0.21788717998221172,0.9304891504229497,264.1419212818146
8,0.3164982952267234,0.8950184937436059,0.21883059390719517,0.9286502390584774,303.85315108299255
9,0.2772546158998705,0.9094987015031085,0.21689930473532734,0.9212945936005884,286.8685989379883
10,0.27176773306086427,0.9101282757535217,0.17337316272082579,0.9396837072453108,220.0817277431488
11,0.25156131592443814,0.9179979538836861,0.1701493619722987,0.9437293122471497,238.39730429649353
12,0.24030941153234517,0.9198866766349256,0.14446323228220387,0.9503493931592497,246.85668468475342
13,0.2214156809190592,0.9262611159203589,0.12578997467331104,0.9606472968002943,245.34498524665833
14,0.21156049122534176,0.9282285354529,0.2066745026737002,0.928282456785583,222.57862663269043
15,0.20202482462473442,0.9330290391123003,0.15070629076226935,0.9496138286134609,231.01902031898499
16,0.1909965527942899,0.936649091052176,0.12236481462476852,0.958808385435822,237.98462319374084
17,0.18515649435324477,0.9357834264578578,0.15885904226766379,0.9407870540639941,235.04130697250366
18,0.1997703042939954,0.932871645549697,0.28399202478315705,0.9010665685913939,227.3010413646698
19,0.1977885572861713,0.9336586133627135,0.09649145557983899,0.9702096358955499,240.1527864933014
20,0.15998337576445038,0.9464861887148815,0.10667227535108162,0.9665318131666054,233.69492721557617
