,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.12373737373737374,0.5268817204301075,0.20040899795501022,93.0
Tomato___Early_blight,0.08719346049046321,0.38095238095238093,0.1419068736141907,84.0
Tomato___Late_blight,0.3028169014084507,0.48044692737430167,0.3714902807775378,179.0
Tomato___Leaf_Mold,0.0,0.0,0.0,303.0
Tomato___Target_Spot,0.0,0.0,0.0,47.0
Tomato___healthy,0.0,0.0,0.0,395.0
micro avg,0.15874524714828897,0.1516802906448683,0.15513237343241987,1101.0
macro avg,0.08562462260604793,0.23138017145946502,0.11896769205778979,1101.0
weighted avg,0.06633610516883501,0.1516802906448683,0.08815165708681856,1101.0
