model,corruption_type,level,n,accuracy,macro_f1,baseline_accuracy,drop_rate_pct
tiny_cnn_c,brightness,1,2734,0.6664228237015362,0.5783904611092539,0.9729334308705194,31.50375939849625
tiny_cnn_c,brightness,2,2734,0.2446964155084126,0.10274998739712533,0.9729334308705194,74.84962406015038
tiny_cnn_c,brightness,3,2734,0.11046086320409657,0.03065903946327761,0.9729334308705194,88.64661654135338
tiny_cnn_c,shadow,1,2734,0.9615947329919532,0.9539683160371067,0.9729334308705194,1.165413533834589
tiny_cnn_c,shadow,2,2734,0.9030724213606437,0.879100681151543,0.9729334308705194,7.180451127819558
tiny_cnn_c,shadow,3,2734,0.5921726408193123,0.49925426065370837,0.9729334308705194,39.13533834586467
tiny_cnn_c,reflection,1,2734,0.9619604974396488,0.9528959719653001,0.9729334308705194,1.1278195488721867
tiny_cnn_c,reflection,2,2734,0.9359912216532553,0.9152589582482882,0.9729334308705194,3.796992481203009
tiny_cnn_c,reflection,3,2734,0.8796634967081199,0.8381472664810955,0.9729334308705194,9.58646616541354
tiny_cnn_c,blur,1,2734,0.6324067300658376,0.49081653539966064,0.9729334308705194,35.0
tiny_cnn_c,blur,2,2734,0.5468178493050475,0.35754685657960983,0.9729334308705194,43.79699248120301
tiny_cnn_c,blur,3,2734,0.4612289685442575,0.28980130403828264,0.9729334308705194,52.59398496240601
tiny_cnn_c,noise,1,2734,0.9637893196781273,0.9570627430912364,0.9729334308705194,0.9398496240601517
tiny_cnn_c,noise,2,2734,0.5852231163130943,0.5919928530561658,0.9729334308705194,39.84962406015038
tiny_cnn_c,noise,3,2734,0.16715435259692757,0.11090139152927578,0.9729334308705194,82.81954887218045
tiny_cnn_c,occlusion,1,2734,0.9465983906364301,0.9322570025959734,0.9729334308705194,2.7067669172932365
tiny_cnn_c,occlusion,2,2734,0.894659839063643,0.8617162575210957,0.9729334308705194,8.045112781954893
tiny_cnn_c,occlusion,3,2734,0.7136064374542794,0.587686460472716,0.9729334308705194,26.65413533834587
