model,corruption_type,level,n,accuracy,macro_f1,baseline_accuracy,drop_rate_pct
tiny_cnn_a,brightness,1,2734,0.6038771031455743,0.4761784388676711,0.9498902706656913,36.42664613015017
tiny_cnn_a,brightness,2,2734,0.18068763716166789,0.07902961268867399,0.9498902706656913,80.97805159799769
tiny_cnn_a,brightness,3,2734,0.1049743964886613,0.019000331016219795,0.9498902706656913,88.94878706199461
tiny_cnn_a,shadow,1,2734,0.9337966349670812,0.9203714749199685,0.9498902706656913,1.6942626107046606
tiny_cnn_a,shadow,2,2734,0.7926115581565472,0.7644004316921168,0.9498902706656913,16.55756642279554
tiny_cnn_a,shadow,3,2734,0.3533284564740307,0.21809471409669534,0.9498902706656913,62.80323450134772
tiny_cnn_a,reflection,1,2734,0.9396488661302121,0.9226252969665408,0.9498902706656913,1.0781671159029669
tiny_cnn_a,reflection,2,2734,0.8917337234820776,0.8572805652686718,0.9498902706656913,6.1224489795918355
tiny_cnn_a,reflection,3,2734,0.7564008778346745,0.6740293947131022,0.9498902706656913,20.36965729688102
tiny_cnn_a,blur,1,2734,0.6100950987564009,0.43793185950510355,0.9498902706656913,35.77204466692338
tiny_cnn_a,blur,2,2734,0.44111192392099485,0.27928407922585097,0.9498902706656913,53.5618020793223
tiny_cnn_a,blur,3,2734,0.3533284564740307,0.2048377362026456,0.9498902706656913,62.80323450134772
tiny_cnn_a,noise,1,2734,0.943306510607169,0.9322984481830101,0.9498902706656913,0.6931074316519098
tiny_cnn_a,noise,2,2734,0.7607900512070227,0.734582789328236,0.9498902706656913,19.907585675779746
tiny_cnn_a,noise,3,2734,0.182882223847842,0.1741467196747512,0.9498902706656913,80.74701578744705
tiny_cnn_a,occlusion,1,2734,0.9184345281638625,0.9013449634371451,0.9498902706656913,3.3115132845591053
tiny_cnn_a,occlusion,2,2734,0.8547915142648135,0.8244305306062362,0.9498902706656913,10.011551790527532
tiny_cnn_a,occlusion,3,2734,0.6437454279444038,0.5223578130776851,0.9498902706656913,32.22949557181363
