,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,317,0,1,0,1,0,0,1,0,0
Tomato___Early_blight,4,119,14,0,3,0,10,0,0,0
Tomato___Late_blight,5,6,266,7,1,0,0,2,0,0
Tomato___Leaf_Mold,0,0,4,138,2,0,0,0,0,0
Tomato___Septoria_leaf_spot,0,3,8,13,242,1,0,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,1,1,0,0,248,2,0,0,0
Tomato___Target_Spot,1,0,2,1,5,16,187,0,0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,12,1,4,0,0,1,0,787,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,57,0
Tomato___healthy,0,0,1,0,0,1,2,0,0,236
