epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,0.9617998584995884,0.680333674352719,0.6280318251062553,0.8157410812798823,581.5288417339325
2,0.6394096226792393,0.7905878649563233,0.4949037018463251,0.8436925340198602,466.60749435424805
3,0.5222189613862239,0.8282049264185095,0.35499609422326395,0.8988598749540272,371.8785080909729
4,0.45979789652981634,0.8489808766821437,0.33806125491819167,0.8889297535858771,456.3386673927307
5,0.4095952079876257,0.8645628393798693,0.3433252244436947,0.8874586244942994,477.9608976840973
6,0.3775042258774708,0.8751869048555914,0.2591352825117773,0.9194556822361162,457.055890083313
7,0.3477756425174279,0.8862831510191234,0.3082543203032446,0.9047443913203383,461.4615762233734
8,0.3238056498845218,0.8910836546785237,0.22792382530440583,0.931592497241633,464.89195013046265
9,0.309146887820589,0.8968285197135437,0.20731473955455598,0.9301213681500552,455.60451579093933
10,0.29114522681694455,0.9069017077201542,0.17687931358156594,0.9429937477013608,471.022176027298
11,0.2646070717416684,0.9134335405681908,0.21540191226802238,0.9297535858771607,465.84643173217773
12,0.24817977826319682,0.918706224915401,0.20678906450298132,0.9326958440603162,477.2996106147766
13,0.2526049117020547,0.9190997088219092,0.1770128005476406,0.9452004413387275,500.29444575309753
14,0.24732940026906414,0.9156370504446368,0.22583728808116368,0.917616770871644,477.26411986351013
