,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.1111111111111111,0.3333333333333333,0.16666666666666666,93.0
Tomato___Early_blight,0.06415094339622641,0.20238095238095238,0.09742120343839542,84.0
Tomato___Late_blight,0.24152542372881355,0.6368715083798883,0.35023041474654376,179.0
Tomato___Leaf_Mold,0.0,0.0,0.0,303.0
Tomato___Target_Spot,0.0,0.0,0.0,47.0
Tomato___healthy,0.5517241379310345,0.0810126582278481,0.141280353200883,395.0
micro avg,0.18063314711359404,0.17620345140781107,0.17839080459770115,1101.0
macro avg,0.16141860269453093,0.20893307538700367,0.12593310634208146,1101.0
weighted avg,0.2514860108163784,0.17620345140781107,0.12913747942125825,1101.0
