,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.10017574692442882,0.6129032258064516,0.17220543806646527,93.0
Tomato___Early_blight,0.09433962264150944,0.23809523809523808,0.13513513513513514,84.0
Tomato___Late_blight,0.2925170068027211,0.48044692737430167,0.36363636363636365,179.0
Tomato___Leaf_Mold,0.0,0.0,0.0,303.0
Tomato___Target_Spot,0.0,0.0,0.0,47.0
Tomato___healthy,0.30434782608695654,0.017721518987341773,0.03349282296650718,395.0
micro avg,0.15482695810564662,0.15440508628519528,0.15461573442473853,1101.0
macro avg,0.13189670040926932,0.22486115171055554,0.11741162663407854,1101.0
weighted avg,0.17240582042497146,0.15440508628519528,0.09599185400019261,1101.0
