epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,0.9015342325002642,0.6992995986464153,0.651106340344139,0.7778595071717543,364.0991621017456
2,0.540395975572603,0.8191547965688203,0.44740914313089064,0.8484737035674881,365.10081791877747
3,0.4210604189831989,0.8632249940977414,0.2751567857336553,0.914306730415594,357.57340455055237
4,0.359444147091823,0.8840009443613757,0.2174197175033437,0.9330636263332107,358.0677454471588
5,0.30023805265058134,0.9006846619973243,0.21199571509249907,0.9293858036042663,310.8919212818146
6,0.2697261686618523,0.9115448178169513,0.2784016614580481,0.9043766090474439,317.52493047714233
7,0.2528058165802929,0.9190210120406075,0.2012004184215691,0.930856932695844,311.2648627758026
8,0.22695927556328274,0.9255528448886441,0.19458220777988608,0.9330636263332107,306.3274805545807
9,0.20736881124989245,0.9312190131423624,0.18343010320355235,0.9367414490621552,313.29103446006775
10,0.17677022086239033,0.9403478397733532,0.12054282850638968,0.9577050386171386,315.65477228164673
11,0.17461565600584555,0.9420791689619894,0.1711440992415905,0.9374770136079441,301.2521164417267
12,0.15510223494559594,0.9500275438734556,0.13718203856510772,0.9569694740713498,313.0198087692261
13,0.14769664664999116,0.9516801762807902,0.10508959162665196,0.966164030893711,306.45995473861694
14,0.1360716349573911,0.9537262925946329,0.08363474383621411,0.9716807649871276,345.75145864486694
15,0.12575592304240352,0.9584480994727316,0.09221772453191088,0.968738506803972,351.0859041213989
16,0.12179937812440995,0.958133312347525,0.08721740252833982,0.9727841118058109,359.83574509620667
17,0.10743464322654721,0.9640355709451484,0.10215574223034388,0.9643251195292387,349.36183857917786
18,0.10905468097554527,0.9631699063508302,0.11088098134570105,0.9624862081647665,366.08793783187866
