epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,0.9113670748724593,0.6954981898315756,0.534304636627228,0.8144481114778145,617.5055603981018
2,0.550247166225446,0.8183535337635762,0.41532073339613357,0.8753208654198753,526.1384325027466
3,0.4361776978119929,0.856288367700299,0.3068924931147442,0.9171250458379171,393.5046195983887
4,0.36701735098418636,0.8792696363922556,0.2528522135925503,0.9185918591859186,376.1826207637787
5,0.30611669694966415,0.9029592318589643,0.2298359812060074,0.9233590025669234,472.1183707714081
6,0.27209264935048083,0.9126396977805761,0.21599796792095424,0.9295929592959296,495.6749179363251
7,0.23921233500042768,0.9207461042027388,0.2179408295549313,0.9262926292629263,510.4576470851898
8,0.22087307173718285,0.9265701243507004,0.21062878832128137,0.9204253758709204,499.82692980766296
9,0.18995201563283476,0.9371163229970093,0.18441141276477915,0.9361936193619362,505.7419967651367
10,0.20397286454598848,0.9330237682984417,0.1857593175017647,0.9394939493949395,614.5868365764618
11,0.1957518497161484,0.9356996694475052,0.11783517906964809,0.9651631829849652,628.9313735961914
12,0.15253866821241327,0.9485282543680151,0.09517746330534292,0.9680968096809681,578.5369262695312
13,0.1642463678931244,0.947111600818511,0.17131322981468425,0.9424275760909424,418.24514079093933
14,0.142130943903881,0.9518337793168582,0.07181530686516792,0.973964063072974,368.3147065639496
15,0.1367586205213413,0.9545096804659217,0.09458275884445907,0.9710304363769711,383.77282643318176
16,0.1041624022477101,0.9644262553124509,0.0666091963075044,0.9783645031169783,389.0601210594177
17,0.11077683701742996,0.9636392255627263,0.08313257873453116,0.9728639530619728,388.94098711013794
18,0.11987219629336855,0.9582874232645994,0.0635128193658071,0.9772643931059772,397.93350982666016
19,0.09293024135085329,0.9665512356367071,0.07792231888830632,0.9728639530619728,344.56262826919556
20,0.10898246847746336,0.964977176137258,0.06179541781760312,0.9805647231389806,290.29732155799866
